store,websites,sku,name,url_key,color,description
"store_in,india_m_sv","app_in,india_m_web",JAG1503,Turquoise Chanderi Silk Saree with Golden Border,turquoise-chanderi-silk-saree-with-golden-border-jag1503,Turquoise,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Turquoise</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>
"store_in,india_m_sv","app_in,india_m_web",JAG1509,White Chanderi Silk Saree with Floral Motifs,white-chanderi-silk-saree-with-floral-motifs-jag1509,White,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: White</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>
"store_in,india_m_sv","app_in,india_m_web",JAG1516,Turquoise Chanderi Silk Saree with Foral Motifs,turquoise-chanderi-silk-saree-with-foral-motifs-jag1516,Turquoise,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Turquoise</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 250</li></ul>
"store_in,india_m_sv","app_in,india_m_web",JAG1520,Beige Chanderi Silk Saree with Floral Motifs,beige-chanderi-silk-saree-with-floral-motifs-jag1520,Beige,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Beige</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 250</li></ul>
"store_in,india_m_sv","app_in,india_m_web",JAG1524,Magenta Chanderi Silk Saree with Floral Motifs,magenta-chanderi-silk-saree-with-floral-motifs-jag1524,Magenta,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Magenta</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 250</li></ul>
"store_in,india_m_sv","app_in,india_m_web",JAG1528,White Chanderi Silk Saree with Floral Motifs,white-chanderi-silk-saree-with-floral-motifs-jag1528,White,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: White</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 250</li></ul>
"store_in,india_m_sv","app_in,india_m_web",JAG1531,Dark Blue Chanderi Silk Saree with Floral Motifs,dark-blue-chanderi-silk-saree-with-floral-motifs-jag1531,Blue,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Blue</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 250</li></ul>
"store_in,india_m_sv","app_in,india_m_web",JAG1534,White Chanderi Silk Saree with Floral Motifs,white-chanderi-silk-saree-with-floral-motifs-jag1534,White,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: White</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 250</li></ul>
"store_us,global_m_sv","app_us,global_m_web",JAG1503,Turquoise Chanderi Silk Saree with Golden Border,turquoise-chanderi-silk-saree-with-golden-border-jag1503,Turquoise,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: Turquoise</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>
"store_us,global_m_sv","app_us,global_m_web",JAG1509,White Chanderi Silk Saree with Floral Motifs,white-chanderi-silk-saree-with-floral-motifs-jag1509,White,A classic saree in chanderi silk featuring traditional motifs that will pair beautifully with golden jhumkas for a day and evening look.<ul><li>Color: White</li><li>Measurements (meters): 5.5</li><li>Material(s): Pure Chanderi Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): 400</li></ul>
