store,websites,sku,name,url_key,description
"store_us,store_in,default","app_us,app_in",INCTR2015CSY,Yellow Manipuri Cotton Saree with Blouse Fabric (Set of 2),yellow-manipuri-cotton-saree-with-blouse-fabric-(setof2)-inctr2015csy,Yellow manipuri cotton unstitched saree with gold tone paisley motifs and blouse fabric<ul><li>Color: Yellow</li><li>Measurements: Free Size</li><li>Material(s): Manipuri Cotton</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>
"store_us,store_in,default","app_us,app_in",INCTR2015CSG,Green Manipuri Cotton Saree with Blouse Fabric (Set of 2),green-manipuri-cotton-saree-with-blouse-fabric-(setof2)-inctr2015csg,Green manipuri cotton unstitched saree with gold tone paisley motifs and blouse fabric<ul><li>Color: Green</li><li>Measurements: Free Size</li><li>Material(s): Manipuri Cotton</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>
"store_us,store_in,default","app_us,app_in",INCTR2015MHP,"Pink, Navy Blue Embroidered Silk Cotton Saree with Blouse Fabric (Set of 2)","pink,-navy-blue-embroidered-silk-cotton-saree-with-blouse-fabric-(setof2)-inctr2015mhp","Pink, navy blue embroidered silk and manipuri cotton unstitched saree with blouse fabric<ul><li>Color: Pink, Navy Blue</li><li>Measurements: Free Size</li><li>Material(s): Silk, Manipuri Cotton</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",INCTR2015MHR,"Red, Green Embroidered Silk Cotton Saree with Blouse Fabric (Set of 2)","red,-green-embroidered-silk-cotton-saree-with-blouse-fabric-(setof2)-inctr2015mhr","Red,Green embroidered silk and manipuri cotton unstitched saree with blouse fabric<ul><li>Color: Red, Green</li><li>Measurements: Free Size</li><li>Material(s): Silk, Manipuri Cotton</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",INCTR2015SPP,Dark Pink Embroidered Gajji Silk Saree with Blouse Fabric (Set of 2),dark-pink-embroidered-gajji-silk-saree-with-blouse-fabric-(setof2)-inctr2015spp,"Dark pink embroidered gajji silk unstitched saree with purple boder and blouse fabric <ul><li>Color: Dark Pink, Purple</li><li>Measurements: Free Size</li><li>Material(s): Gajji Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",INCTR2015SPG,Olive Green Embroidered Gajji Silk Saree with Blouse Fabric (Set of 2),olive-green-embroidered-gajji-silk-saree-with-blouse-fabric-(setof2)-inctr2015spg,"Olive green embroidered gajji silk unstitched saree with maroon boder and blouse fabric <ul><li>Color: Olive Green, Maroon</li><li>Measurements: Free Size</li><li>Material(s): Gajji Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",INCTR2015SPO,Orange Embroidered Gajji Silk Saree with Blouse Fabric (Set of 2),orange-embroidered-gajji-silk-saree-with-blouse-fabric-(setof2)-inctr2015spo,Orange embroidered gajji silk unstitched saree with green boder and blouse fabric <ul><li>Color: Orange</li><li>Measurements: Free Size</li><li>Material(s): Gajji Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>
"store_us,store_in,default","app_us,app_in",INCTR2015ZSB,Teal Blue Embroidered Zoya Silk Saree with Blouse Fabric (Set of 2),teal-blue-embroidered-zoya-silk-saree-with-blouse-fabric-(setof2)-inctr2015zsb,Teal Blue embroidered zoya silk unstitched saree with blouse fabric <ul><li>Color: Teal Blue</li><li>Measurements: Free Size</li><li>Material(s): Zoya Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>
"store_us,store_in,default","app_us,app_in",INCTR2015ZSPK,Pink Embroidered Zoya Silk Saree with Blouse Fabric (Set of 2),pink-embroidered-zoya-silk-saree-with-blouse-fabric-(setof2)-inctr2015zspk,Pink embroidered zoya silk unstitched saree with blouse fabric <ul><li>Color: Pink</li><li>Measurements: Free Size</li><li>Material(s): Zoya Silk</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>
"store_us,store_in,default","app_us,app_in",INCTR2015VPB,"Black, Beige Embroidered Pure Velvet Saree with Blouse Fabric (Set of 2)","black,-beige-embroidered-pure-velvet-saree-with-blouse-fabric-(setof2)-inctr2015vpb","Black, beige embroidered pure velvet unstitched saree with blouse fabric <ul><li>Color: Black, Beige</li><li>Measurements: Free Size</li><li>Material(s): Pure Velvet</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M350,"Tanzanite, Rose Quartz Brass Necklace with Filigree Work","tanzanite,-rose-quartz-brass-necklace-with-filigree-work-in14m350","Handcrafted contemporary pink, blue brass necklace featuring intricate filigree work, tanzanite and rose quartz<ul><li>Color: Pink, Blue</li><li>Measurements: Free Size</li><li>Material(s): Brass, Tanzanite, Rose Quartz</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M440,Floral Brass Kundan Earrings,floral-brass-kundan-earrings-in14m440,"Handcrafted in Gujarat, gold tone floral brass kundan earrings embellished with pearl drop and crystals<ul><li>Color: Golden</li><li>Measurements: Free Size</li><li>Material(s): Brass, Pearls, Crystals</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M800,Engraved Gold Tone Brass Earrings with Pearl Drop Chains,engraved-gold-tone-brass-earrings-with-pearl-drop-chains-in14m800,"Gold tone dome-shaped engraved brass earrings adorned with pearl drop chains<ul><li>Color: Golden</li><li>Measurements: Free Size</li><li>Material(s): Brass, Pearls</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M203,Crescent Tourmaline Brass Kundan Earrings,crescent-tourmaline-brass-kundan-earrings-in14m203,"Handcrafted in Gujarat, crescent-shaped gold tone brass kundan earrings embellished with tourmaline and pearl drop chains<ul><li>Color: Golden, Pink</li><li>Measurements: Free Size</li><li>Material(s): Brass, Tourmaline, Pearls</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M418,Oval Tanzanite Brass Kundan Earrings with Pearls,oval-tanzanite-brass-kundan-earrings-with-pearls-in14m418,"Handcrafted in Gujarat, gold tone, blue oval-shaped brass kundan earrings showcasing pearls and tanzanite<ul><li>Color: Golden, Blue</li><li>Measurements: Free Size</li><li>Material(s): Brass, Tanzanite, Pearls</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M300,Peacock Gold Tone Brass Kundan Earcuffs,peacock-gold-tone-brass-kundan-earcuffs-in14m300,"Inspired by peacock, handcrafted gold tone brass kundan earcuffs with jhumka drop from Gujarat<ul><li>Color: Golden</li><li>Measurements: Free Size</li><li>Material(s): Brass</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M185,Turquoise Gold Tone Engraved Brass Earrings,turquoise-gold-tone-engraved-brass-earrings-in14m185,"Inspired by nature, handcrafted gold tone engraved brass earrings adorned with turquoise<ul><li>Color: Golden, Turquoise</li><li>Measurements: Free Size</li><li>Material(s): Brass, Turquoise</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M125_1,Crescent Brass Kundan Maang Tikka,crescent-brass-kundan-maang-tikka-in14m125_1,"Handcrafted in Gujarat, cresent-shaped brass kundan maang tikka showcasing pearls and crystals<ul><li>Color: Golden, White</li><li>Measurements: Free Size</li><li>Material(s): Brass, Pearls, Crystals</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M150,"Leaf Black Onyx, Rose Quartz Embossed Earrings","leaf-black-onyx,-rose-quartz-embossed-earrings-in14m150","Inspired by leaves, handcrafted embossed brass earrings featuring black onyx, rose quartz and pearl drop<ul><li>Color: Pink, Black, Golden</li><li>Measurements: Free Size</li><li>Material(s): Brass, Black Onyx, Rose Quartz, Pearls</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M250,Mughal Tanzanite Gold Tone Brass Earrings,mughal-tanzanite-gold-tone-brass-earrings-in14m250,"Inspired by Mughal architecture, traditional layered gold tone brass jhumkis embedded with pearls and tanzanite<ul><li>Color: Blue, White, Golden</li><li>Measurements: Free Size</li><li>Material(s): Brass, Tanzanite, Pearls</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M100,Spiral Carnelian Gold Tone Brass Earrings,spiral-carnelian-gold-tone-brass-earrings-in14m100,"Inspired by tree branches, handcrafted gold tone spiral brass earrings featuring carnelian and pearl drop chain<ul><li>Color: Red, Golden, White</li><li>Measurements: Free Size</li><li>Material(s): Brass, Carnelian, Pearl</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M291,Tourmaline and Green Aventurine Brass Kundan Earrings,tourmaline-and-green-aventurine-brass-kundan-earrings-in14m291,"Handcrafted in Gujarat and inspired by nature, brass kundan earrings beautified with pearls, tourmaline and green aventurine<ul><li>Color: Pink, Green, White, Golden</li><li>Measurements: Free Size</li><li>Material(s): Brass, Pearls, Tourmaline, Green Aventurine</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M320,Tourmaline and Green Labradorite Floral Brass Kundan Earrings,tourmaline-and-green-labradorite-floral-brass-kundan-earrings-in14m320,"Handcrafted in Gujarat, floral brass kundan earrings embellished with pearls, tourmaline and green labradorite<ul><li>Color: Pink, Green, White, Golden</li><li>Measurements: Free Size</li><li>Material(s): Brass, Pearls, Tourmaline and Green Labradorite</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M125,Floral Tourmaline Brass Kundan Maang Tikka,floral-tourmaline-brass-kundan-maang-tikka-in14m125,"Handcrafted in Gujarat. Inspired by flowers, brass kundan maang tikka showcasing tourmaline<ul><li>Color: Pink, Golden</li><li>Measurements: Free Size</li><li>Material(s): Brass, Tourmaline</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN14M400,Amethyst and Rose Quartz Gold Tone Brass Necklace,amethyst-and-rose-quartz-gold-tone-brass-necklace-in14m400,"Handcrafted contemporary gold tone brass necklace featuring amethyst, green and rose quartz. Adorned with intricate filigree work and etched bell motifs<ul><li>Color: Green, Pink, Golden, Purple</li><li>Measurements: Free Size</li><li>Material(s): Brass, Amethyst, Green and Rose Quartz</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
"store_us,store_in,default","app_us,app_in",IN118M,Meenakari Brass Earrings with Pearls,meenakari-brass-earrings-with-pearls-in118m,"Handcrafted in Gujarat, traditional brass earrings adorned with meenakari work, crystals and pearls<ul><li>Color: Golden, Red, White</li><li>Measurements: Free Size</li><li>Material(s): Brass, Pearls, Crystals</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>"
